0 37 0.1 1.0 1.0 1.0 17.761
0 37 0.2 1.0 1.0 1.0 16.717
0 37 0.5 1.0 1.0 1.0 15.581
0 37 1.0 1.0 1.0 1.0 15.668
0 37 2.0 0.93 0.92 0.92 15.474
0 41 0.1 1.0 1.0 1.0 18.98
0 41 0.2 1.0 1.0 1.0 17.909
0 41 0.5 1.0 1.0 1.0 16.767
0 41 1.0 1.0 1.0 1.0 16.876
0 41 2.0 0.93 0.92 0.93 16.834
0 53 0.1 1.0 1.0 1.0 23.15
0 53 0.2 1.0 1.0 1.0 22.154
0 53 0.5 1.0 1.0 1.0 21.069
0 53 1.0 1.0 1.0 1.0 20.961
0 53 2.0 0.94 0.93 0.93 21.29
0 67 0.1 1.0 1.0 1.0 27.995
0 67 0.2 1.0 1.0 1.0 27.214
0 67 0.5 1.0 1.0 1.0 26.43
0 67 1.0 1.0 1.0 1.0 26.081
0 67 2.0 0.95 0.93 0.94 26.081
0 154 0.1 1.0 1.0 1.0 59.196
0 154 0.2 1.0 1.0 1.0 58.204
0 154 0.5 1.0 1.0 1.0 57.979
0 154 1.0 1.0 1.0 1.0 58.143
0 154 2.0 0.96 0.94 0.95 58.808
300 37 0.1 0.95 0.92 0.93 37.855
300 37 0.2 0.99 0.99 0.99 37.885
300 37 0.5 0.99 0.99 0.99 37.561
300 37 1.0 0.99 0.98 0.98 37.515
300 37 2.0 0.95 0.94 0.95 37.786
300 41 0.1 0.94 0.9 0.91 36.103
300 41 0.2 0.98 0.98 0.98 35.892
300 41 0.5 0.98 0.98 0.98 35.753
300 41 1.0 0.98 0.98 0.98 35.679
300 41 2.0 0.95 0.95 0.95 35.652
300 53 0.1 0.93 0.83 0.85 37.316
300 53 0.2 0.99 0.99 0.99 36.96
300 53 0.5 0.99 0.99 0.99 36.761
300 53 1.0 0.99 0.99 0.99 36.974
300 53 2.0 0.96 0.95 0.95 36.838
300 67 0.1 0.92 0.75 0.78 37.341
300 67 0.2 0.99 0.99 0.99 37.463
300 67 0.5 0.99 0.99 0.99 37.342
300 67 1.0 0.99 0.99 0.99 37.2
300 67 2.0 0.96 0.95 0.96 37.191
300 154 0.1 0.91 0.53 0.57 41.549
300 154 0.2 0.99 0.99 0.99 41.511
300 154 0.5 0.99 0.99 0.99 41.454
300 154 1.0 0.99 0.99 0.99 41.384
300 154 2.0 0.96 0.96 0.96 41.347
